Título,Precio_Rango,Ofertas,Tipo de producto,Serie,Procesador_Procesador,Disco duro_Tipo de disco duro,Comunicaciones_Conectividad,Comunicaciones_Versión Bluetooth,Medidas y peso_Profundidad,Medidas y peso_Ancho,Medidas y peso_Peso,Otras características_Equipamiento,Procesador_Fabricante del procesador,Procesador_Tipo de procesador,Disco duro_Número de discos duros (instalados),Gráfica_Memoria gráfica,Sistema operativo_Sistema operativo,Procesador_Nombre en clave del procesador,Procesador_Caché,RAM_Memoria RAM,RAM_Tipo de RAM,Disco duro_Capacidad de memoria SSD,Procesador_Número de núcleos del procesador,Procesador_Frecuencia de reloj,Procesador_Frecuencia turbo máx.,Gráfica_Tarjeta gráfica,Alimentación_Capacidad de la batería,Tipo,Pantalla_Displayglas_flag,Gráfica_GPU_flag,Pantalla_Tamaño de la pantalla,Pantalla_Resolución de pantalla,Alimentación_Autonomía de la batería,Procesador_Frecuencia del reloj,RAM_Frecuencia de la memoria,Pantalla_Tecnología de la pantalla_flag,Conectividad_Lector de tarjetas_flag,Cámara_Webcam_flag
"Apple MacBook Air 13"" 2024 M3","1.026,53 € – 2.287,17 €",200 ofertas:,Portátil multimedia,Apple MacBook Air,Apple M3,SSD,"wifi, Bluetooth",Bluetooth 5.3,"21,5 cm","30,4 cm","1,24 kg","micrófono integrado, USB-C, Touchpad multitáctil, altavoces estéreo, Touch ID, webcam, Force Touch Trackpad",,,,,,,,,,,,,,,,Laptop,0,0,"13,6 pulgadas",,15 h,,,1,1,1
"Apple MacBook Air 15"" 2024 M3","1.270,42 € – 2.672,25 €",230 ofertas:,Portátil multimedia,Apple MacBook Air,Apple M3,SSD,"wifi, Bluetooth",Bluetooth 5.3,"23,8 cm",34 cm,"1,51 kg","micrófono integrado, USB-C, Touchpad multitáctil, altavoces estéreo, Touch ID, webcam, Force Touch Trackpad",,,,,,,,,,,,,,,,Laptop,0,0,"15,3 pulgadas",,15 h,,,1,1,1
"Apple MacBook Pro 14"" M4 (2024)","1.731,44 € – 4.932,25 €",136 ofertas:,Portátil multimedia,Apple MacBook Pro,,SSD,"Bluetooth, wifi",Bluetooth 5.3,"22,1 cm","31,3 cm","1,6 kg","USB-C, altavoces estéreo, Touch ID, lector de tarjetas, webcam, Force Touch Trackpad",Apple,Apple M,1.0,memoria compartida,macOS Sequoia,,,,,,,,,,,Laptop,0,0,"14,2 pulgadas",3.024 x 1.964 píxeles,13 h,,,1,1,1
ASUS TUF Gaming A15 FA506 (2024),"647,00 € – 1.031,71 €",30 ofertas:,Portátil gaming,ASUS TUF Gaming,,SSD,"LAN, Bluetooth, wifi",Bluetooth 5.2,"25,6 cm","35,9 cm","2,3 kg","altavoces estéreo, micrófono integrado, USB-C, webcam",,,1.0,,,Rembrandt-R,16 MB,16 GB RAM,DDR5,512 GB,,,,,,Laptop,0,0,"15,6 pulgadas",1.920 x 1.080 píxeles,,,5.600 MHz,1,0,1
GigaByte Aero 16 OLED BKF,"1.031,31 € – 2.069,99 €",29 ofertas:,Portátil gaming,Gigabyte Aero,Intel Core i7-13700H,SSD,"wifi, Bluetooth",Bluetooth 5.2,"25,5 cm","35,4 cm","1,9 kg","USB-C, altavoces estéreo, lector de tarjetas, webcam, micrófono integrado",Intel,Intel Core i7,1.0,8.192 MB / 8 GB,Windows 11 Home,Raptor Lake-H,24 MB,16 GB RAM,DDR5,1.000 GB,14.0,"1,8 GHz",5 GHz,,,Laptop,0,0,16 pulgadas,,,,,1,1,1
"ASUS Zenbook 14 OLED UX3405
UX3405MA-PP606W","968,76 € – 1.146,69 €",18 ofertas:,Portátil multimedia,ASUS Zenbook,Intel Core Ultra 7 155H,,"wifi, Bluetooth",Bluetooth 5.3,22 cm,"31,2 cm","1,2 kg","USB-C, altavoces estéreo, webcam, lector de tarjetas",Intel,Intel Core Ultra 7,1.0,memoria compartida,Windows 11 Home,Meteor Lake,24 MB,16 GB RAM,LPDDR5X,512 GB,16.0,"3,8 GHz","4,8 GHz",Intel Arc Graphics,,Laptop,0,0,14 pulgadas,2.880 x 1.800 píxeles,,,,1,0,1
ASUS ROG Zephyrus G16 GA605,"2.299,00 € – 4.010,22 €",5 ofertas:,Portátil gaming,ASUS Republic of Gamers,AMD Ryzen AI 9 HX 370,,"wifi, Bluetooth",Bluetooth 5.4,"24,6 cm","35,4 cm","1,85 kg","USB-C, altavoces estéreo, webcam, lector de tarjetas",,,1.0,,Windows 11 Home,,,,,1.000 GB,,,,,,Laptop,0,0,16 pulgadas,,,,,0,1,1
"ASUS Zenbook 14 Duo OLED UX8406
UX8406MA-PZ255W","1.849,20 € – 2.520,81 €",26 ofertas:,Portátil multimedia,ASUS Zenbook,Intel Core Ultra 9 185H,SSD,"wifi, Bluetooth",Bluetooth 5.3,"21,8 cm","31,4 cm","1,65 kg","USB-C, altavoces estéreo, webcam",Intel,Intel Core Ultra 9,1.0,memoria compartida,Windows 11 Home,Meteor Lake,24 MB,32 GB RAM,LPDDR5X,1.000 GB,16.0,"3,8 GHz","5,1 GHz",Intel Arc Graphics,,Laptop,0,0,14 pulgadas,2.880 x 1.800 píxeles,,,,1,0,1
ASUS Zenbook 14 OLED UM3406,"792,12 € – 1.162,83 €",34 ofertas:,Portátil multimedia,ASUS Zenbook,AMD Ryzen 7 8840HS,,"wifi, Bluetooth",Bluetooth 5.3,22 cm,"31,2 cm","1,2 kg","USB-C, altavoces estéreo, webcam, lector de tarjetas",AMD,AMD Ryzen 7,,,,Hawk Point-HS,24 MB,,,,8.0,"3,3 GHz","5,1 GHz",,,Laptop,0,0,14 pulgadas,,,,,0,0,1
"Apple MacBook Air 13"" 2022 M2","931,68 € – 1.676,99 €",117 ofertas:,Portátil multimedia,Apple MacBook Air,,,"wifi, Bluetooth",Bluetooth 5.0,"21,5 cm","30,4 cm","1,24 kg","micrófono integrado, USB-C, Touchpad multitáctil, altavoces estéreo, Touch ID, webcam, Force Touch Trackpad",,,,,,,,,,,,,,,,Laptop,0,0,"13,6 pulgadas",,15 h,,,0,1,1
