Título,Tipo de producto,Serie,Procesador_Procesador,Disco duro_Tipo de disco duro,Comunicaciones_Conectividad,Comunicaciones_Versión Bluetooth,Otras características_Equipamiento,Procesador_Fabricante del procesador,Procesador_Tipo de procesador,Disco duro_Número de discos duros (instalados),Sistema operativo_Sistema operativo,Procesador_Nombre en clave del procesador,RAM_Tipo de RAM,Disco duro_Capacidad de memoria SSD,Gráfica_Tarjeta gráfica,Alimentación_Capacidad de la batería,Tipo,Pantalla_Displayglas_flag,Gráfica_GPU_flag,Pantalla_Tecnología de la pantalla_flag,Conectividad_Lector de tarjetas_flag,Cámara_Webcam_flag,Precio_min,Precio_max,Precio_avg,Profundidad_mm,Ancho_mm,Peso_kg,Ofertas_num,Cache_MB,RAM_GB,Procesador_Cores,CPU_GHz,CPU_Turbo_GHz,Pantalla_Tamaño_pulg,Res_Horiz_px,Res_Vert_px,Bateria_Autonomia_h,RAM_MHz,GPU_Memory_GB,GPU_Shared_Memory_flag
"Apple MacBook Air 13"" 2024 M3",Portátil multimedia,Apple MacBook Air,Apple M3,SSD,"wifi, Bluetooth",Bluetooth 5.3,"micrófono integrado, USB-C, Touchpad multitáctil, altavoces estéreo, Touch ID, webcam, Force Touch Trackpad",,,,,,,,,,Laptop,0,0,1,1,1,1026.53,2287.17,1656.85,215.0,304.0,1.24,200.0,,,,,,13.6,,,15.0,,,0
"Apple MacBook Air 15"" 2024 M3",Portátil multimedia,Apple MacBook Air,Apple M3,SSD,"wifi, Bluetooth",Bluetooth 5.3,"micrófono integrado, USB-C, Touchpad multitáctil, altavoces estéreo, Touch ID, webcam, Force Touch Trackpad",,,,,,,,,,Laptop,0,0,1,1,1,1270.42,2672.25,1971.335,238.0,340.0,1.51,230.0,,,,,,15.3,,,15.0,,,0
"Apple MacBook Pro 14"" M4 (2024)",Portátil multimedia,Apple MacBook Pro,,SSD,"Bluetooth, wifi",Bluetooth 5.3,"USB-C, altavoces estéreo, Touch ID, lector de tarjetas, webcam, Force Touch Trackpad",Apple,Apple M,1.0,macOS Sequoia,,,,,,Laptop,0,0,1,1,1,1731.44,4932.25,3331.8450000000003,221.0,313.0,1.6,136.0,,,,,,14.2,3024.0,1964.0,13.0,,,1
ASUS TUF Gaming A15 FA506 (2024),Portátil gaming,ASUS TUF Gaming,,SSD,"LAN, Bluetooth, wifi",Bluetooth 5.2,"altavoces estéreo, micrófono integrado, USB-C, webcam",,,1.0,,Rembrandt-R,DDR5,512.0,,,Laptop,0,0,1,0,1,647.0,1031.71,839.355,256.0,359.0,2.3,30.0,16.0,16.0,,,,15.6,1920.0,1080.0,,5600.0,,0
GigaByte Aero 16 OLED BKF,Portátil gaming,Gigabyte Aero,Intel Core i7-13700H,SSD,"wifi, Bluetooth",Bluetooth 5.2,"USB-C, altavoces estéreo, lector de tarjetas, webcam, micrófono integrado",Intel,Intel Core i7,1.0,Windows 11 Home,Raptor Lake-H,DDR5,1000.0,,,Laptop,0,0,1,1,1,1031.31,2069.99,1550.6499999999999,255.0,354.0,1.9,29.0,24.0,16.0,14.0,1.8,5.0,16.0,,,,,8.0,0
"ASUS Zenbook 14 OLED UX3405
UX3405MA-PP606W",Portátil multimedia,ASUS Zenbook,Intel Core Ultra 7 155H,,"wifi, Bluetooth",Bluetooth 5.3,"USB-C, altavoces estéreo, webcam, lector de tarjetas",Intel,Intel Core Ultra 7,1.0,Windows 11 Home,Meteor Lake,LPDDR5X,512.0,Intel Arc Graphics,,Laptop,0,0,1,0,1,968.76,1146.69,1057.725,220.0,312.0,1.2,18.0,24.0,16.0,16.0,3.8,4.8,14.0,2880.0,1800.0,,,,1
ASUS ROG Zephyrus G16 GA605,Portátil gaming,ASUS Republic of Gamers,AMD Ryzen AI 9 HX 370,,"wifi, Bluetooth",Bluetooth 5.4,"USB-C, altavoces estéreo, webcam, lector de tarjetas",,,1.0,Windows 11 Home,,,1000.0,,,Laptop,0,0,0,1,1,2299.0,4010.22,3154.6099999999997,246.0,354.0,1.85,5.0,,,,,,16.0,,,,,,0
"ASUS Zenbook 14 Duo OLED UX8406
UX8406MA-PZ255W",Portátil multimedia,ASUS Zenbook,Intel Core Ultra 9 185H,SSD,"wifi, Bluetooth",Bluetooth 5.3,"USB-C, altavoces estéreo, webcam",Intel,Intel Core Ultra 9,1.0,Windows 11 Home,Meteor Lake,LPDDR5X,1000.0,Intel Arc Graphics,,Laptop,0,0,1,0,1,1849.2,2520.81,2185.005,218.0,314.0,1.65,26.0,24.0,32.0,16.0,3.8,5.1,14.0,2880.0,1800.0,,,,1
ASUS Zenbook 14 OLED UM3406,Portátil multimedia,ASUS Zenbook,AMD Ryzen 7 8840HS,,"wifi, Bluetooth",Bluetooth 5.3,"USB-C, altavoces estéreo, webcam, lector de tarjetas",AMD,AMD Ryzen 7,,,Hawk Point-HS,,,,,Laptop,0,0,0,0,1,792.12,1162.83,977.4749999999999,220.0,312.0,1.2,34.0,24.0,,8.0,3.3,5.1,14.0,,,,,,0
"Apple MacBook Air 13"" 2022 M2",Portátil multimedia,Apple MacBook Air,,,"wifi, Bluetooth",Bluetooth 5.0,"micrófono integrado, USB-C, Touchpad multitáctil, altavoces estéreo, Touch ID, webcam, Force Touch Trackpad",,,,,,,,,,Laptop,0,0,0,1,1,931.68,1676.99,1304.335,215.0,304.0,1.24,117.0,,,,,,13.6,,,15.0,,,0
Lenovo V15 G4,Portátil multimedia,,,,"wifi, Bluetooth, LAN",Bluetooth 5.1,"USB-C, webcam, lector de tarjetas",,,,,,,,,,Laptop,0,0,0,0,1,329.99,1268.99,799.49,236.0,359.0,1.65,451.0,,,,,,15.6,,,8.4,,,0
ASUS Vivobook Go 15 E1504FA,Portátil profesional,ASUS Vivobook,,,"Bluetooth, wifi",,"USB-C, altavoces estéreo, webcam",,,,,,,,,,Laptop,0,0,0,0,1,320.16,1022.4,671.28,232.5,360.3,1.63,166.0,,,,,,15.6,,,,,,0
Lenovo LOQ 15 G9 2024,Portátil gaming,,,,"wifi, Bluetooth, LAN",Bluetooth 5.1,"USB-C, altavoces estéreo, webcam",,,,,,,,,,Laptop,0,0,0,0,1,729.0,1896.12,1312.56,259.0,360.0,2.38,61.0,,,,,,15.6,,,5.3,,,0
GigaByte Aero 16 OLED BSF,Portátil gaming,Gigabyte Aero,,,"Bluetooth, wifi",Bluetooth 5.2,"USB-C, altavoces estéreo, lector de tarjetas, webcam",Intel,,,,,,,,,Laptop,0,0,0,1,1,1326.64,2689.47,2008.0549999999998,255.0,354.0,2.1,20.0,,,,,,16.0,,,,,,0
ASUS ROG Zephyrus G14 GA403,Portátil gaming,ASUS Republic of Gamers,,,"wifi, Bluetooth",Bluetooth 5.3,"USB-C, altavoces estéreo, webcam, lector de tarjetas",,,,,,,1000.0,,,Laptop,0,0,0,1,1,1799.0,3794.53,2796.7650000000003,220.0,311.0,1.5,22.0,,,,,,14.0,,,,,,0
Samsung Galaxy Book 4,Portátil multimedia,Samsung Galaxy Book,,SSD,"wifi, Bluetooth, LAN",Bluetooth 5.3,"USB-C, altavoces estéreo, lector de tarjetas, webcam",Intel,,1.0,,,,,,,Laptop,0,0,1,1,1,599.0,1377.0,988.0,229.0,357.0,1.55,66.0,,,,,,15.6,,,15.0,,,1
Lenovo LOQ 15,Portátil gaming,,,,"wifi, Bluetooth, LAN",Bluetooth 5.1,"USB-C, altavoces estéreo, webcam",,,,,,,,,,Laptop,0,0,0,0,1,729.0,1854.93,1291.9650000000001,265.0,360.0,2.4,61.0,,,,,,15.6,,,5.3,,,0
ASUS Vivobook 15 (12th Gen F1504),,ASUS Vivobook,,,"Bluetooth, wifi",,"USB-C, altavoces estéreo, webcam",,,,,,,,,,Laptop,0,0,0,0,1,413.99,949.0,681.495,232.5,359.7,1.7,217.0,,,,,,15.6,,,,,,0
"GigaByte Aero 16 OLED BSF
BSF-H3ES954SH",Portátil gaming,Gigabyte Aero,Intel Core i7-13620H,SSD,"wifi, Bluetooth",Bluetooth 5.2,"USB-C, altavoces estéreo, lector de tarjetas, webcam",Intel,Intel Core i7,1.0,Windows 11 Home,Raptor Lake-H,DDR5,1000.0,NVIDIA GeForce RTX 4070,,Laptop,0,0,0,1,1,1326.64,1542.41,1434.525,255.0,354.0,2.1,19.0,24.0,16.0,10.0,1.8,4.9,16.0,3840.0,2400.0,,4800.0,8.0,0
Lenovo V15 G2,Portátil multimedia,,,,"wifi, Bluetooth, LAN",Bluetooth 5.0,"USB-C, altavoces estéreo, webcam",,,,,,,,,,Laptop,0,0,0,0,1,237.36,958.5,597.9300000000001,236.0,359.0,1.7,96.0,,,,,,15.6,,,5.5,,,0
