Título,Num_Drives,Sistema operativo_Sistema operativo,Procesador_Nombre en clave del procesador,RAM_Tipo de RAM,Disco duro_Capacidad de memoria SSD,Gráfica_Tarjeta gráfica,Alimentación_Capacidad de la batería,Tipo,Pantalla_Displayglas_flag,Gráfica_GPU_flag,Pantalla_Tecnología de la pantalla_flag,Conectividad_Lector de tarjetas_flag,Cámara_Webcam_flag,Precio_min,Precio_max,Precio_avg,Profundidad_mm,Ancho_mm,Peso_kg,Ofertas_num,Cache_MB,RAM_GB,Procesador_Cores,CPU_GHz,CPU_Turbo_GHz,Pantalla_Tamaño_pulg,Res_Horiz_px,Res_Vert_px,Bateria_Autonomia_h,RAM_MHz,GPU_Memory_GB,GPU_Shared_Memory_flag,Brand,Brand_ASUS,Brand_Acer,Brand_Actina,Brand_Ankermann,Brand_Apple,Brand_Captiva,Brand_Dell,Brand_GigaByte,Brand_HP,Brand_Intel,Brand_LG,Brand_Lenovo,Brand_MSI,Brand_Medion,Brand_Microsoft,Brand_Minisforum,Brand_Other,Brand_PcCom,Brand_Samsung,Brand_Sedatech,Brand_VIST,Brand_Vibox,Brand_Zone,Tipo_Mini PC,Tipo_Other,Tipo_PC de oficina,Tipo_PC gaming,Tipo_PC multimedia,Tipo_Portátil convertible,Tipo_Portátil gaming,Tipo_Portátil multimedia,Tipo_Portátil profesional,Tipo_Unknown,Tipo_Workstation,Serie_ASUS ExpertBook,Serie_ASUS Vivobook,Serie_Apple MacBook Air,Serie_Dell OptiPlex,Serie_HP EliteBook,Serie_Lenovo IdeaPad,Serie_Lenovo ThinkCentre,Serie_Lenovo ThinkPad,Serie_Lenovo ThinkStation,Serie_Microsoft Surface,Serie_Other,CPU_AMD Ryzen 3,CPU_AMD Ryzen 5,CPU_AMD Ryzen 7,CPU_AMD Ryzen 9,CPU_AMD Ryzen AI,CPU_Apple M1,CPU_Apple M2,CPU_Apple M3,CPU_Apple M4,CPU_Intel Celeron,CPU_Intel Core I3,CPU_Intel Core I5,CPU_Intel Core I7,CPU_Intel Core I9,CPU_Intel Core Ultra,CPU_Intel Pentium,CPU_Intel Xeon,CPU_Other,Disk_HDD,Disk_Hybrid,Disk_None,Disk_SSD,Disk_Unknown,Conn_WiFi,Conn_Bluetooth,Conn_Ethernet,Conn_NFC,BT_4.0,BT_4.1,BT_4.2,BT_5.0,BT_5.1,BT_5.2,BT_5.3,BT_5.4,BT_Unknown,Eq_USB_C,Eq_Webcam,Eq_Speakers,Eq_CardReader,Eq_Microphone,Eq_Touchpad,Eq_TouchID,Eq_ForceTouch,Eq_SecurityLock,Eq_LiquidCool,Eq_TouchBar,Eq_ScreenPad,Eq_TrackPoint,Eq_Other,Multi_Drive_flag
"Apple MacBook Air 13"" 2024 M3",1,,,,,,,Laptop,0,0,1,1,1,1026.53,2287.17,1656.85,215.0,304.0,1.24,200.0,,,,,,13.6,,,15.0,,,0,Apple,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0
"Apple MacBook Air 15"" 2024 M3",1,,,,,,,Laptop,0,0,1,1,1,1270.42,2672.25,1971.335,238.0,340.0,1.51,230.0,,,,,,15.3,,,15.0,,,0,Apple,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0
"Apple MacBook Pro 14"" M4 (2024)",1,macOS Sequoia,,,,,,Laptop,0,0,1,1,1,1731.44,4932.25,3331.8450000000003,221.0,313.0,1.6,136.0,,,,,,14.2,3024.0,1964.0,13.0,,,1,Apple,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0
ASUS TUF Gaming A15 FA506 (2024),1,,Rembrandt-R,DDR5,512.0,,,Laptop,0,0,1,0,1,647.0,1031.71,839.355,256.0,359.0,2.3,30.0,16.0,16.0,,,,15.6,1920.0,1080.0,,5600.0,,0,ASUS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
GigaByte Aero 16 OLED BKF,1,Windows 11 Home,Raptor Lake-H,DDR5,1000.0,,,Laptop,0,0,1,1,1,1031.31,2069.99,1550.65,255.0,354.0,1.9,29.0,24.0,16.0,14.0,1.8,5.0,16.0,,,,,8.0,0,GigaByte,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"ASUS Zenbook 14 OLED UX3405
UX3405MA-PP606W",1,Windows 11 Home,Meteor Lake,LPDDR5X,512.0,Intel Arc Graphics,,Laptop,0,0,1,0,1,968.76,1146.69,1057.725,220.0,312.0,1.2,18.0,24.0,16.0,16.0,3.8,4.8,14.0,2880.0,1800.0,,,,1,ASUS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
ASUS ROG Zephyrus G16 GA605,1,Windows 11 Home,,,1000.0,,,Laptop,0,0,0,1,1,2299.0,4010.22,3154.6099999999997,246.0,354.0,1.85,5.0,,,,,,16.0,,,,,,0,ASUS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"ASUS Zenbook 14 Duo OLED UX8406
UX8406MA-PZ255W",1,Windows 11 Home,Meteor Lake,LPDDR5X,1000.0,Intel Arc Graphics,,Laptop,0,0,1,0,1,1849.2,2520.81,2185.005,218.0,314.0,1.65,26.0,24.0,32.0,16.0,3.8,5.1,14.0,2880.0,1800.0,,,,1,ASUS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ASUS Zenbook 14 OLED UM3406,1,,Hawk Point-HS,,,,,Laptop,0,0,0,0,1,792.12,1162.83,977.475,220.0,312.0,1.2,34.0,24.0,,8.0,3.3,5.1,14.0,,,,,,0,ASUS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"Apple MacBook Air 13"" 2022 M2",1,,,,,,,Laptop,0,0,0,1,1,931.68,1676.99,1304.335,215.0,304.0,1.24,117.0,,,,,,13.6,,,15.0,,,0,Apple,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0
