Gráfica_Tarjeta gráfica,Count
,1348
Intel Iris Xe Graphics,916
Intel UHD Graphics,715
NVIDIA GeForce RTX 4060,487
AMD Radeon Graphics,390
Intel UHD Graphics 770,373
NVIDIA GeForce RTX 4070,358
Intel Arc Graphics,270
Intel UHD Graphics 730,202
NVIDIA GeForce RTX 4060 Ti,191
NVIDIA GeForce RTX 3060,183
NVIDIA GeForce RTX 3050,164
Intel Graphics,135
NVIDIA GeForce RTX 4050,121
Intel UHD Graphics 630,108
Apple M3 Graphics,101
AMD Radeon RX Vega 8,99
NVIDIA GeForce RTX 3070,90
NVIDIA GeForce GTX 1650,89
NVIDIA GeForce RTX 3060 Ti,78
NVIDIA GeForce RTX 4080,75
NVIDIA GeForce RTX 4070 Ti,74
NVIDIA GeForce RTX 3070 Ti,70
NVIDIA GeForce RTX 4070 Super,66
NVIDIA RTX A2000,63
NVIDIA GeForce RTX 4090,54
AMD Radeon 780M,51
NVIDIA GeForce RTX 4070 Ti Super,44
NVIDIA GeForce RTX 4080 Super,43
NVIDIA GeForce GTX 1660 Super,41
AMD Radeon 610M,38
Intel UHD Graphics 600,37
Apple M2 Graphics,34
NVIDIA RTX A4000,31
AMD Radeon RX 7900 GRE,29
NVIDIA GeForce RTX 2050,29
AMD Radeon 680M,28
NVIDIA Quadro T1000,27
NVIDIA GeForce RTX 3050 Ti,26
NVIDIA RTX 2000 Ada,24
AMD Radeon RX 7900 XTX,24
Intel HD Graphics,22
NVIDIA T1000,22
NVIDIA GeForce RTX 3080,22
Qualcomm Adreno,22
Intel HD Graphics 630,20
AMD Radeon 660M,18
Intel UHD Graphics 620,16
Qualcomm Adreno X Elite,15
AMD Radeon RX 7700 XT,15
sin tarjeta gráfica,15
AMD Radeon RX 7800 XT,14
Apple M4 Pro Graphics,14
NVIDIA RTX 3000 Ada,13
AMD Radeon RX 6600,13
Apple M4 Max Graphics,13
Qualcomm Adreno X Plus,13
NVIDIA GeForce GT 1030,13
NVIDIA GeForce RTX 3080 Ti,12
NVIDIA RTX A1000,12
NVIDIA RTX A500,12
Intel HD Graphics 530,11
Apple M4 Graphics,11
NVIDIA Quadro T400,10
AMD Radeon RX Vega 7,10
NVIDIA RTX A3000,9
Intel Iris Plus Graphics,9
AMD Radeon 740M,9
NVIDIA T400,8
Intel Arc Graphics 140V,8
Apple M4 10-Core GPU,8
Apple M2 GPU,8
NVIDIA RTX 2000,8
AMD Radeon RX Vega,8
Apple M1 Pro Graphics,7
NVIDIA RTX 500 Ada,7
NVIDIA RTX A4500,7
Apple M2 Pro GPU,6
AMD Radeon 890M,6
Intel HD Graphics 4600,6
NVIDIA RTX 1000 Ada,6
Apple M2 Max GPU,5
AMD Radeon RX 6700 XT,5
AMD Radeon RX Vega 11,5
Intel UHD Graphics 750,5
Intel HD Graphics 500,4
Intel Arc Graphics 130V,4
Intel UHD Graphics 610,4
NVIDIA Quadro RTX 5000,4
AMD Radeon RX 7900 XT,4
AMD Radeon RX 6600M,4
Intel HD Graphics 520,4
Apple M3 Pro Graphics,4
AMD Radeon 760M,4
Intel UHD Graphics 605,4
NVIDIA GeForce MX350,4
Intel Iris Plus Graphics 655,4
AMD Radeon RX 6400,3
NVIDIA RTX 4000 Ada,3
AMD Radeon RX Vega 3,3
Apple M4 Pro 16-Core GPU,3
AMD Radeon RX 7600S,3
Apple M2 Pro Graphics,3
NVIDIA GeForce MX550,3
NVIDIA GeForce GT 730,3
NVIDIA Quadro RTX 3000,3
Intel HD Graphics 620,3
NVIDIA RTX 3500,3
AMD Radeon Vega 8 Graphics,3
Intel Iris Graphics,3
NVIDIA GeForce MX450,3
AMD Radeon,3
ARM Mali-G72 MP3,3
Intel HD Graphics 4000,3
NVIDIA GeForce RTX 2080 Super,3
NVIDIA GeForce RTX 3090,3
AMD Radeon RX 6500M,3
NVIDIA GeForce GTX 1660 Ti,3
NVIDIA GeForce GT 710,2
AMD Radeon RX Vega 10,2
Intel HD Graphics 400,2
AMD Radeon RX Vega 6,2
NVIDIA RTX A6000,2
Apple M2 Ultra GPU,2
NVIDIA RTX A400,2
AMD Radeon Pro 5300M,2
NVIDIA Quadro RTX 4000,2
NVIDIA RTX A5000,2
Intel Arc A350M,2
Intel HD Graphics 600,2
NVIDIA GeForce RTX 2060,2
Qualcomm Adreno 690,2
AMD Radeon RX 550,2
NVIDIA RTX 3500 Ada,2
NVIDIA T1200,2
NVIDIA GeForce GTX 1050,2
NVIDIA GeForce GTX 1630,2
AMD Radeon RX 6750 XT,2
AMD Radeon 880M,2
Qualcomm Adreno 540 GPU,2
Qualcomm Adreno 680,2
NVIDIA RTX A5500,2
Intel Arc A770 Graphics,2
Apple M1 Max Graphics,2
AMD Radeon Pro 560X,2
NVIDIA GeForce GTX 1060,2
NVIDIA Quadro T2000,2
NVIDIA Quadro P1000,2
Intel UHD Graphics 617,2
AMD Radeon R7,2
Intel HD Graphics 5500,2
NVIDIA Quadro P2200,2
Intel Arc A370M,2
NVIDIA GeForce RTX 2070 Super,1
nVidia NextGen Ion,1
nVidia Quadro M4000,1
NVIDIA GeForce GTX 980,1
NVIDIA GeForce GTX 970,1
NVIDIA Quadro M2000,1
Intel HD Graphics 540,1
AMD Radeon R2E,1
VIA Chrome9,1
Intel HD Graphics 4400,1
AMD Radeon RX 480,1
2 x nVidia GeForce GTX 980 Ti,1
AMD Radeon RX 6500 XT,1
AMD Radeon RX 7600,1
Intel HD Graphics 605,1
NVIDIA Quadro 600,1
NVIDIA GeForce GTX 1080,1
Intel UHD Graphics 1250,1
AMD Radeon Pro 5500M,1
NVIDIA RTX 4500 Ada,1
Intel Iris Graphics 650,1
AMD Radeon 860M,1
AMD Radeon R4,1
Apple M2 Max Graphics,1
AMD Uma,1
AMD Radeon RX 6700S,1
Intel Xe Graphics,1
Intel Iris Plus Graphics 645,1
NVIDIA GeForce MX330,1
NVIDIA RTX 5000 Ada,1
NVIDIA T600,1
AMD Radeon R3,1
Intel Arc Pro A30M,1
Intel Arc A730M,1
NVIDIA GeForce MX570,1
AMD Radeon Vega 9,1
NVIDIA GeForce MX250,1
Qualcomm Adreno 618,1
Intel Iris Graphics 6100,1
NVIDIA GeForce GTX 950M,1
NVIDIA Quadro P520,1
NVIDIA T550,1
AMD Radeon R4 Graphics,1
2 x AMD FirePro D700,1
NVIDIA Quadro RTX 6000,1
NVIDIA GeForce GTX 1650 Super,1
PowerVR SGX6110,1
NVIDIA Quadro RTX A5000,1
Matrox G200,1
