Procesador_Procesador,Count
,1109
Intel Core Ultra 7 155H,192
Intel Core i5-1235U,165
Intel Core i5-1335U,141
Intel Core i7-1355U,134
Intel Core i5-10400,133
Intel Core i7-11700F,120
AMD Ryzen 5 4500,120
Intel Core i7-13700,105
Intel Core i5-12400F,104
Intel Core i7-13700F,103
Intel Core i9-13900KF,102
Apple M3,95
Intel Core i7-1255U,93
Intel Core i7-13700H,91
Intel Core i5-1135G7,89
Intel Core i5-13500,84
AMD Ryzen 3 3200G,79
Intel Core i5-12400,79
Intel Core i7-13620H,78
Intel Core i9-11900F,75
Intel Core i5-12450H,71
AMD Ryzen 7 5700X,70
Intel Core i3-1215U,69
Intel Core i7-14700,69
Intel Core i7-1360P,63
Intel Core i9-14900HX,60
Intel Core i5-13420H,59
Intel Core Ultra 9 185H,59
Intel Core Ultra 7 155U,56
Intel Core Ultra 5 125U,55
Intel Core i7-12700H,55
Inter Core i7-12700,52
AMD Ryzen 7 5700U,51
Intel Core i3-1315U,50
Intel Core i5-13400,49
Intel Core Ultra 5 125H,49
Intel Core i3-1115G4,48
AMD Ryzen 5 7520U,47
Intel Core i5-13400F,47
Intel Core i7-13700HX,46
Intel N100,45
AMD Ryzen 7 7730U,45
Apple M2,43
Intel Core i9-13900H,41
AMD Ryzen 5 5600G,41
Intel Core 5 120U,40
Intel Core i5-14400F,40
AMD Ryzen 5 5500U,39
Intel Core i5-12500,39
Intel Core i7-14700KF,37
Intel Celeron N4500,37
Intel Core i5-14500,36
Intel Core i7-1165G7,35
Intel Core 7 150U,34
AMD Ryzen 9 5900X,33
AMD Ryzen 7 7800X3D,33
Intel Core i7-12700F,33
Intel Core i3-N305,32
Intel Core i7-13700KF,32
AMD Ryzen 5 3600,31
AMD Ryzen 7 5700G,31
Intel Core i3-12100,30
Intel Core i5-12500T,29
Intel Core i7-1260P,29
AMD Ryzen 5 7530U,29
Intel Core i9-13980HX,28
Intel Core i3-13100,28
Intel Core i5-1240P,28
AMD Ryzen 7 9800X3D,27
AMD Ryzen 5 5625U,27
Intel Celeron N4020,27
Intel Core i7-12700KF,27
Intel Core i7-13700K,27
Intel Core i7-12650H,27
Intel Core i7-14700K,27
Intel Core i5-1035G1,26
Intel Core Ultra 7 165H,26
AMD Ryzen 7 8845HS,25
Intel Core i5-1340P,25
Intel Core i9-14900K,25
Intel Core i9-13950HX,25
AMD Ryzen 5 5500,24
Intel Core i5-12500H,24
Intel Core i9-14900KF,23
Intel Core i7-14700HX,23
Intel Core i7-14650HX,23
AMD Ryzen AI 9 HX 370,23
AMD Ryzen 9 8945HS,22
Intel Core i5-14400,22
AMD Ryzen 5 5600X,22
AMD Ryzen 7 7700X,22
Intel Core i7-14700F,21
Intel Core i5-1334U,21
Intel Core i7-12700K,20
AMD Ryzen 7 5700X3D,20
Intel Core i9-12900,20
Intel Core i3-10110U,20
Intel Core i5-13500H,20
AMD Ryzen 9 6900HX,20
Intel Core i9-13900K,19
Intel Core i5-1155G7,19
Qualcomm Snapdragon X Elite X1E-78-100,19
Apple M4,19
Intel Core i5-13500T,19
Intel Core i7-11800H,19
AMD Ryzen 7 7840HS,19
Intel Core i7-11370H,18
Intel Core i5-10210U,18
AMD Ryzen 7 7435HS,18
AMD Ryzen 9 7940HS,18
AMD Ryzen 5 7600X,17
Apple M4 Pro,17
Intel Core Ultra 5 135H,17
Intel Core i3-1005G1,17
Intel Core i7-1265U,17
AMD Ryzen 5 5600H,17
AMD Ryzen 5 7535HS,16
Intel Core i7-13700T,16
Intel Processor N100,16
Intel Core i7-10700,16
Intel Core i9-13900,15
AMD Ryzen 7 7735HS,15
Intel Core i7-13850HX,15
Intel Core i7-10700F,15
AMD Ryzen 7 5800X,15
Intel Core i7-13800H,15
Intel Core i5-14600KF,15
AMD Ryzen 3 7320U,14
Intel Core i5-13600KF,14
AMD Ryzen 5 7500F,14
Intel Core i3-13100T,14
Intel Celeron N5105,14
Intel Core i5-13400T,14
Intel Core i3-10100,13
AMD Ryzen 7 8700G,13
Intel Core i5-11400,13
Qualcomm Snapdragon X Plus X1P-42-100,13
Qualcomm Snapdragon X Plus X1P-64-100,13
Apple M4 Max,13
AMD Ryzen 9 7945HX,13
AMD Ryzen 7 7700,13
Intel Core i5-1245U,13
AMD Ryzen Embedded R2314,12
Intel Core i7-12700T,12
AMD Ryzen 7 5800H,12
Intel N97,12
Intel Core i5-11400F,12
Intel Core i9-12900H,12
Intel Core i9-11900,12
Intel Core i5-12600,12
AMD Ryzen 9 7900X,12
