Sistema operativo_Sistema operativo,Count
,2187
Windows 11 Home,1212
Microsoft Windows 11 Professional,1181
Windows 11 Professional,1043
ninguno,398
Microsoft Windows 11 Home,387
Free DOS,272
sin sistema operativo,264
Microsoft Windows 10 Professional,200
Windows 10 Professional,185
FreeDOS,165
macOS Sequoia,138
Windows 10 Home,97
Chrome OS,71
macOS Sonoma,36
macOS Ventura,34
Microsoft Windows 10 Home,27
macOS Monterey,22
Linux,14
Google Chrome OS,13
Microsoft Windows 10,12
Wyse Thin OS,11
macOS Big Sur,11
macOS Catalina,10
macOS Mojave,10
Windows 11 S,10
Windows 10 S,8
IGEL OS,8
Mac OS X,6
HP ThinPro,4
Microsoft Windows 11 IoT Enterprise,3
Microsoft Windows 7 Professional,2
DOS,2
Microsoft Windows 7 Home Premium,1
Microsoft Windows 8 Professional,1
Microsoft Windows 8.1,1
macOS Sierra,1
Google Android,1
configurable,1
Windows 10 IoT Enterprise,1
Windows 8,1
Endless OS,1
Windows 10 Professional Creators Update,1
Microsoft Windows Embedded,1
